Defining model
Only Conv model trained
Number of epochs 200
epoch-> 0
Iteration-> 83  , Iteration_time-> 1.4683 , Iteration_loss 0.1156
Iteration-> 84  , Iteration_time-> 1.5109 , Iteration_loss 0.1156
Iteration-> 85  , Iteration_time-> 1.4956 , Iteration_loss 0.1156
Iteration-> 86  , Iteration_time-> 1.5075 , Iteration_loss 0.1156
Iteration-> 87  , Iteration_time-> 1.5370 , Iteration_loss 0.1155
Iteration-> 88  , Iteration_time-> 1.4870 , Iteration_loss 0.1156
Iteration-> 89  , Iteration_time-> 1.5290 , Iteration_loss 0.1156
Iteration-> 90  , Iteration_time-> 1.5212 , Iteration_loss 0.1154
Iteration-> 91  , Iteration_time-> 1.4919 , Iteration_loss 0.1155
Iteration-> 92  , Iteration_time-> 1.5197 , Iteration_loss 0.1156
Iteration-> 93  , Iteration_time-> 1.5044 , Iteration_loss 0.1155
Iteration-> 94  , Iteration_time-> 1.4852 , Iteration_loss 0.1155
Iteration-> 95  , Iteration_time-> 1.5569 , Iteration_loss 0.1155
Iteration-> 96  , Iteration_time-> 1.4770 , Iteration_loss 0.1155
Iteration-> 97  , Iteration_time-> 1.5157 , Iteration_loss 0.1154
Iteration-> 98  , Iteration_time-> 1.4876 , Iteration_loss 0.1155
Iteration-> 99  , Iteration_time-> 1.4921 , Iteration_loss 0.1155
Iteration-> 100  , Iteration_time-> 1.4946 , Iteration_loss 0.1155
Iteration-> 101  , Iteration_time-> 1.4992 , Iteration_loss 0.1154
Iteration-> 102  , Iteration_time-> 1.5276 , Iteration_loss 0.1155
Iteration-> 103  , Iteration_time-> 1.4597 , Iteration_loss 0.1154
Iteration-> 104  , Iteration_time-> 1.4482 , Iteration_loss 0.1154
Iteration-> 105  , Iteration_time-> 1.4825 , Iteration_loss 0.1153
Iteration-> 106  , Iteration_time-> 1.4953 , Iteration_loss 0.1154
Iteration-> 107  , Iteration_time-> 1.4501 , Iteration_loss 0.1154
Iteration-> 108  , Iteration_time-> 1.4613 , Iteration_loss 0.1155
Iteration-> 109  , Iteration_time-> 1.5031 , Iteration_loss 0.1154
Iteration-> 110  , Iteration_time-> 1.5109 , Iteration_loss 0.1154
Iteration-> 111  , Iteration_time-> 1.5104 , Iteration_loss 0.1154
Iteration-> 112  , Iteration_time-> 1.4603 , Iteration_loss 0.1153
Iteration-> 113  , Iteration_time-> 1.4861 , Iteration_loss 0.1153
Iteration-> 114  , Iteration_time-> 1.4450 , Iteration_loss 0.1153
Iteration-> 115  , Iteration_time-> 1.4680 , Iteration_loss 0.1152
Iteration-> 116  , Iteration_time-> 1.4670 , Iteration_loss 0.1153
Iteration-> 117  , Iteration_time-> 1.5051 , Iteration_loss 0.1152
Iteration-> 118  , Iteration_time-> 1.4860 , Iteration_loss 0.1152
Iteration-> 119  , Iteration_time-> 1.4918 , Iteration_loss 0.1151
Iteration-> 120  , Iteration_time-> 1.4793 , Iteration_loss 0.1152
Iteration-> 121  , Iteration_time-> 1.4876 , Iteration_loss 0.1150
Iteration-> 122  , Iteration_time-> 1.4729 , Iteration_loss 0.1151
Iteration-> 123  , Iteration_time-> 1.4792 , Iteration_loss 0.1150
Iteration-> 124  , Iteration_time-> 1.4949 , Iteration_loss 0.1150
Iteration-> 125  , Iteration_time-> 1.4835 , Iteration_loss 0.1150
Iteration-> 126  , Iteration_time-> 1.4856 , Iteration_loss 0.1150
Iteration-> 127  , Iteration_time-> 1.4712 , Iteration_loss 0.1151
